begintime,sk_object,duration,integrity,1593835630,1593835632,1593835633,1593835634,1593835679,1593835680,1593835681,1593835682
2022-02-11,7732648.0,86400.0,100.0,0.0,7.0,1.625,0.0,,,,
2022-03-15,7732602.0,86400.0,100.0,0.0,20.0,8.916666666666666,0.0,,,,
2022-03-15,7732697.0,86400.0,100.0,0.0,8.0,5.541666666666667,0.0,,,,
2022-02-13,7732656.0,86400.0,100.0,0.0,19.0,9.708333333333334,0.0,,,,
2022-02-06,7732655.0,86400.0,100.0,0.0,6.0,3.5833333333333335,0.0,,,,
2022-02-03,7732571.0,86400.0,100.0,0.0,6.0,1.0,0.0,,,,
2022-02-03,7732597.0,86400.0,100.0,0.0,12.0,8.708333333333334,0.0,,,,
2022-03-13,7732679.0,75600.0,87.5,0.0,20.0,9.428571428571429,0.0,,,,
2022-02-18,7732717.0,86400.0,100.0,0.0,19.0,9.958333333333334,0.0,,,,
2022-02-10,7732578.0,86400.0,100.0,0.0,13.0,5.666666666666667,0.0,,,,
2022-03-13,7732712.0,75600.0,87.5,0.0,19.0,8.523809523809524,0.0,,,,
2022-02-03,7732721.0,86400.0,100.0,0.0,8.0,4.625,0.0,,,,
2022-02-03,7732608.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-02-12,7732702.0,86400.0,100.0,0.0,5.0,3.0,0.0,,,,
2022-03-07,7732674.0,86400.0,100.0,0.0,6.0,4.0,0.0,,,,
2022-03-07,7732605.0,86400.0,100.0,0.0,28.0,16.916666666666668,0.0,,,,
2022-02-10,7732653.0,86400.0,100.0,0.0,11.0,6.833333333333333,0.0,,,,
2022-03-12,7732663.0,68400.0,79.16666666666667,0.0,4.0,1.0,0.0,,,,
2022-02-10,7732666.0,86400.0,100.0,0.0,17.0,1.1666666666666667,0.0,,,,
2022-02-19,7732760.0,86400.0,100.0,0.0,6.0,4.166666666666667,0.0,,,,
2022-02-11,7732594.0,86400.0,100.0,0.0,7.0,4.875,0.0,,,,
2022-03-14,7732625.0,82800.0,95.83333333333333,0.0,9.0,6.086956521739131,0.0,,,,
2022-02-03,7732701.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-02-13,7732742.0,86400.0,100.0,0.0,7.0,2.2916666666666665,0.0,,,,
2022-02-19,7732737.0,86400.0,100.0,0.0,14.0,5.916666666666667,0.0,,,,
2022-02-11,7732634.0,86400.0,100.0,0.0,13.0,4.958333333333333,0.0,,,,
2022-03-13,7732664.0,75600.0,87.5,0.0,12.0,8.761904761904763,0.0,,,,
2022-03-14,7732692.0,75600.0,87.5,0.0,40.0,1.5714285714285714,0.0,,,,
2022-02-19,7732755.0,86400.0,100.0,0.0,8.0,4.916666666666667,0.0,,,,
2022-03-12,7732616.0,68400.0,79.16666666666667,0.0,5.0,3.210526315789474,0.0,,,,
2022-03-06,7732737.0,79200.0,91.66666666666667,0.0,19.0,5.545454545454546,0.0,,,,
2022-03-12,7732720.0,68400.0,79.16666666666667,0.0,12.0,5.2105263157894735,0.0,,,,
2022-02-13,7732669.0,86400.0,100.0,0.0,12.0,8.833333333333334,0.0,,,,
2022-02-12,7732621.0,82800.0,95.83333333333333,0.0,68.0,6.782608695652174,0.0,,,,
2022-02-10,7732582.0,86400.0,100.0,0.0,24.0,11.75,0.0,,,,
2022-03-02,7732756.0,86400.0,100.0,0.0,41.0,4.375,0.0,,,,
2022-02-13,7732651.0,86400.0,100.0,0.0,6.0,1.2916666666666667,0.0,,,,
2022-02-17,7732672.0,75600.0,87.5,0.0,26.0,11.333333333333334,0.0,,,,
2022-02-10,7732698.0,86400.0,100.0,0.0,6.0,3.625,0.0,,,,
2022-02-20,7732696.0,86400.0,100.0,0.0,7.0,4.5,0.0,,,,
2022-02-18,7732688.0,86400.0,100.0,0.0,9.0,6.25,0.0,,,,
2022-02-11,7732695.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-03-12,7732629.0,68400.0,79.16666666666667,0.0,12.0,9.210526315789474,0.0,,,,
2022-03-11,7732744.0,86400.0,100.0,0.0,8.0,1.0,0.0,,,,
2022-02-20,7732704.0,86400.0,100.0,0.0,6.0,4.458333333333333,0.0,,,,
2022-02-08,7732660.0,86400.0,100.0,0.0,12.0,8.625,0.0,,,,
2022-02-18,7732708.0,86400.0,100.0,0.0,13.0,5.75,0.0,,,,
2022-03-07,7732722.0,86400.0,100.0,0.0,9.0,6.5,0.0,,,,
2022-03-15,7732588.0,86400.0,100.0,0.0,6.0,1.0,0.0,,,,
2022-02-17,7732637.0,75600.0,87.5,0.0,7.0,5.0,0.0,,,,
2022-02-18,7732654.0,86400.0,100.0,0.0,12.0,7.75,0.0,,,,
2022-02-19,7732703.0,86400.0,100.0,0.0,14.0,6.208333333333333,0.0,,,,
2022-03-10,7732676.0,82800.0,95.83333333333333,0.0,67.0,7.521739130434782,0.0,,,,
2022-02-12,7732574.0,82800.0,95.83333333333333,0.0,41.0,3.9130434782608696,0.0,,,,
2022-03-10,7732717.0,82800.0,95.83333333333333,0.0,22.0,11.08695652173913,0.0,,,,
2022-02-20,7732614.0,86400.0,100.0,0.0,6.0,3.75,0.0,,,,
2022-03-01,7732753.0,86400.0,100.0,0.0,12.0,8.75,0.0,,,,
2022-02-06,7732755.0,86400.0,100.0,0.0,7.0,4.583333333333333,0.0,,,,
2022-03-11,7732670.0,86400.0,100.0,0.0,16.0,7.333333333333333,0.0,,,,
2022-03-06,7732590.0,79200.0,91.66666666666667,0.0,22.0,10.727272727272727,0.0,,,,
2022-02-08,7732615.0,86400.0,100.0,0.0,11.0,7.541666666666667,0.0,,,,
2022-02-10,7732740.0,86400.0,100.0,0.0,3.0,1.0,0.0,,,,
2022-02-17,7732570.0,75600.0,87.5,0.0,9.0,3.0476190476190474,0.0,,,,
2022-03-14,7732572.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-03-12,7732680.0,68400.0,79.16666666666667,0.0,41.0,4.7368421052631575,0.0,,,,
2022-02-05,7732671.0,86400.0,100.0,0.0,12.0,8.458333333333334,0.0,,,,
2022-02-08,7732600.0,86400.0,100.0,0.0,6.0,1.0,0.0,,,,
2022-02-18,7732581.0,86400.0,100.0,0.0,7.0,4.833333333333333,0.0,,,,
2022-03-14,7732725.0,86400.0,100.0,0.0,8.0,4.208333333333333,0.0,,,,
2022-02-10,7732716.0,79200.0,91.66666666666667,0.0,39.0,5.409090909090909,0.0,,,,
2022-02-10,7732737.0,86400.0,100.0,0.0,13.0,4.916666666666667,0.0,,,,
2022-02-18,7732747.0,86400.0,100.0,0.0,9.0,6.791666666666667,0.0,,,,
2022-03-07,7732579.0,86400.0,100.0,0.0,10.0,4.208333333333333,0.0,,,,
