NE Name,fdn,BSCFLAG,CICNO,DPCGIDX,MOIndex,OPCIDX,OPMODE,PN,SN,SRN,STCIC,TSN,TSTYPE,className,name,neID
FTBSC02,"NE=280,AE1T1=8_14_0_7",MAINBSC,263,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,7,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_8",MAINBSC,264,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,8,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_9",MAINBSC,265,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,9,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_10",MAINBSC,266,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,10,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_11",MAINBSC,267,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,11,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_12",MAINBSC,268,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,12,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_13",MAINBSC,269,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,13,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_14",MAINBSC,270,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,14,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_15",MAINBSC,271,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,15,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_16",MAINBSC,272,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,16,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_17",MAINBSC,273,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,17,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
