begintime,object,UL Traffic Volume (GB),DL Traffic Volume (GB)
2022-02-02 01:00:00,3G_DUNDASTREET-22,0.193169971,0.626221838
2022-02-02 01:00:00,3G_DUNDASTREET-23,0.053509765,0.404356284
2022-02-02 01:00:00,3G_DUNDASTREET-24,0.051306618,0.474717643
2022-02-02 01:00:00,3G_DUNDASTREET-31,0.044491877,0.293997336
2022-02-02 01:00:00,3G_DUNDASTREET-32,0.044076426,0.299051852
2022-02-02 01:00:00,3G_DUNDASTREET-33,0.033022304,0.267516652
2022-02-02 01:00:00,3G_DUNDASTREET-34,0.012328557,0.066817469
2022-02-02 01:00:00,3G_DUNDASTREET-41,0.086311809,0.615952648
2022-02-02 01:00:00,3G_DUNDASTREET-42,0.054883632,0.723431471
2022-02-02 01:00:00,3G_DUNDASTREET-43,0.087988818,0.818275198
2022-02-02 01:00:00,3G_DUNDASTREET-44,0.04350626,0.516593813
2022-02-02 01:00:00,3G_DUNDASTREET-51,0.051528469,0.466717877
2022-02-02 01:00:00,3G_DUNDASTREET-52,0.062541549,1.201244051
2022-02-02 01:00:00,3G_DUNDASTREET-53,0.029868072,0.346683267
2022-02-02 01:00:00,3G_DUNDASTREET-54,0.020792264,0.193900909
2022-02-02 01:00:00,3G_DUNDASTREET-61,0.078661042,0.52767153
2022-02-02 01:00:00,3G_DUNDASTREET-62,0.036397203,0.397297819
2022-02-02 01:00:00,3G_DUNDASTREET-63,0.021648088,0.148087468
