sk_object,object,measurement_id,duration,userlabel,is_connected,is_included_in_validation,dwh_created,dwh_last_modified
559,"MRBTS-5050/LNBTS-5050/LNCEL-3,MCC-619/MNC-05",nokia_common_8005,11,MRBTS-5050,1.0,1.0,2022-03-24 02:33:36.985106,2022-03-24 02:33:36.985106
607,"MRBTS-5083/LNBTS-5083/LNCEL-3,MCC-619/MNC-05",nokia_common_8006,11,MRBTS-5083,1.0,1.0,2022-03-24 02:33:39.702857,2022-03-24 02:33:39.702857
599,"MRBTS-5200/LNBTS-5200/LNCEL-21,MCC-619/MNC-05",nokia_common_8006,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:39.702857,2022-03-24 02:33:39.702857
600,"MRBTS-5200/LNBTS-5200/LNCEL-11,MCC-619/MNC-05",nokia_common_8006,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:39.702857,2022-03-24 02:33:39.702857
609,"MRBTS-5044/LNBTS-5044/LNCEL-3,MCC-619/MNC-05",nokia_common_8006,11,MRBTS-5044,1.0,1.0,2022-03-24 02:33:39.702857,2022-03-24 02:33:39.702857
827,"MRBTS-5200/LNBTS-5200/LNCEL-3,MCC-619/MNC-05",nokia_common_8012,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:45.461224,2022-03-24 02:33:45.461224
856,"MRBTS-5084/LNBTS-5084/LNCEL-31,MCC-619/MNC-05",nokia_common_8012,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:45.461224,2022-03-24 02:33:45.461224
857,"MRBTS-5044/LNBTS-5044/LNCEL-2,MCC-619/MNC-05",nokia_common_8012,11,MRBTS-5044,1.0,1.0,2022-03-24 02:33:45.461224,2022-03-24 02:33:45.461224
858,"MRBTS-5044/LNBTS-5044/LNCEL-11,MCC-619/MNC-05",nokia_common_8012,11,MRBTS-5044,1.0,1.0,2022-03-24 02:33:45.461224,2022-03-24 02:33:45.461224
859,"MRBTS-5050/LNBTS-5050/LNCEL-2,MCC-619/MNC-05",nokia_common_8012,15,MRBTS-5050,1.0,1.0,2022-03-24 02:33:45.461224,2022-03-24 02:33:45.461224
1735,"MRBTS-5090/LNBTS-5090/LNCEL-1,MCC-619/MNC-05,ECI-1301525,MCC-619/MNC-05",nokia_common_8015,8,MRBTS-5090,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
